,ticker,name,market,locale,active,currency_symbol,currency_name,base_currency_symbol,base_currency_name,last_updated_utc
0,C:AEDAUD,United Arab Emirates dirham - Australian dollar,fx,global,True,AUD,Australian dollar,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
1,C:AEDBHD,United Arab Emirates dirham - Bahraini dinar,fx,global,True,BHD,Bahraini dinar,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
2,C:AEDCAD,United Arab Emirates dirham - Canadian dollar,fx,global,True,CAD,Canadian dollar,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
3,C:AEDCHF,United Arab Emirates dirham - Swiss franc,fx,global,True,CHF,Swiss franc,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
4,C:AEDDKK,United Arab Emirates dirham - Danish krone,fx,global,True,DKK,Danish krone,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
5,C:AEDEUR,United Arab Emirates dirham - Euro,fx,global,True,EUR,Euro,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
6,C:AEDGBP,United Arab Emirates dirham - Pound sterling,fx,global,True,GBP,Pound sterling,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
7,C:AEDINR,United Arab Emirates dirham - Indian rupee,fx,global,True,INR,Indian rupee,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
8,C:AEDJPY,United Arab Emirates dirham - Japanese yen,fx,global,True,JPY,Japanese yen,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
9,C:AEDNOK,United Arab Emirates dirham - Norwegian krone,fx,global,True,NOK,Norwegian krone,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
10,C:AEDNZD,United Arab Emirates dirham - New Zealand dollar,fx,global,True,NZD,New Zealand dollar,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
11,C:AEDPKR,United Arab Emirates dirham - Pakistani rupee,fx,global,True,PKR,Pakistani rupee,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
12,C:AEDSAR,United Arab Emirates dirham - Saudi riyal,fx,global,True,SAR,Saudi riyal,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
13,C:AEDSEK,United Arab Emirates dirham - Swedish krona,fx,global,True,SEK,Swedish krona,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
14,C:AEDUSD,United Arab Emirates dirham - United States Dollar,fx,global,True,USD,United States Dollar,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
15,C:AEDZAR,United Arab Emirates dirham - South African rand,fx,global,True,ZAR,South African rand,AED,United Arab Emirates dirham,2017-01-01T00:00:00Z
16,C:AFNGBP,Afghan afghani - Pound sterling,fx,global,True,GBP,Pound sterling,AFN,Afghan afghani,2017-01-01T00:00:00Z
17,C:ALLEUR,Albanian lek - Euro,fx,global,True,EUR,Euro,ALL,Albanian lek,2017-01-01T00:00:00Z
18,C:ALLGBP,Albanian lek - Pound sterling,fx,global,True,GBP,Pound sterling,ALL,Albanian lek,2017-01-01T00:00:00Z
19,C:ALLUSD,Albanian lek - United States Dollar,fx,global,True,USD,United States Dollar,ALL,Albanian lek,2017-01-01T00:00:00Z
20,C:AMDGBP,Armenian dram - Pound sterling,fx,global,True,GBP,Pound sterling,AMD,Armenian dram,2017-01-01T00:00:00Z
21,C:ARECHF,AREG - Swiss franc,fx,global,True,CHF,Swiss franc,ARE,AREG,2017-01-01T00:00:00Z
22,C:AREUSD,AREG - United States Dollar,fx,global,True,USD,United States Dollar,ARE,AREG,2017-01-01T00:00:00Z
23,C:ARSAUD,Argentine peso - Australian dollar,fx,global,True,AUD,Australian dollar,ARS,Argentine peso,2017-01-01T00:00:00Z
24,C:ARSBRL,Argentine peso - Brazilian real,fx,global,True,BRL,Brazilian real,ARS,Argentine peso,2017-01-01T00:00:00Z
25,C:ARSCAD,Argentine peso - Canadian dollar,fx,global,True,CAD,Canadian dollar,ARS,Argentine peso,2017-01-01T00:00:00Z
26,C:ARSCHF,Argentine peso - Swiss franc,fx,global,True,CHF,Swiss franc,ARS,Argentine peso,2017-01-01T00:00:00Z
27,C:ARSCLP,Argentine peso - Chilean peso,fx,global,True,CLP,Chilean peso,ARS,Argentine peso,2017-01-01T00:00:00Z
28,C:ARSCOP,Argentine peso - Colombian peso,fx,global,True,COP,Colombian peso,ARS,Argentine peso,2017-01-01T00:00:00Z
29,C:ARSEUR,Argentine peso - Euro,fx,global,True,EUR,Euro,ARS,Argentine peso,2017-01-01T00:00:00Z
30,C:ARSGBP,Argentine peso - Pound sterling,fx,global,True,GBP,Pound sterling,ARS,Argentine peso,2017-01-01T00:00:00Z
31,C:ARSHKD,Argentine peso - Hong Kong dollar,fx,global,True,HKD,Hong Kong dollar,ARS,Argentine peso,2017-01-01T00:00:00Z
32,C:ARSHUF,Argentine peso - Hungarian forint,fx,global,True,HUF,Hungarian forint,ARS,Argentine peso,2017-01-01T00:00:00Z
33,C:ARSJPY,Argentine peso - Japanese yen,fx,global,True,JPY,Japanese yen,ARS,Argentine peso,2017-01-01T00:00:00Z
34,C:ARSMXN,Argentine peso - Mexican peso,fx,global,True,MXN,Mexican peso,ARS,Argentine peso,2017-01-01T00:00:00Z
35,C:ARSPEN,Argentine peso - Peruvian nuevo sol,fx,global,True,PEN,Peruvian nuevo sol,ARS,Argentine peso,2017-01-01T00:00:00Z
36,C:ARSSGD,Argentine peso - Singapore dollar,fx,global,True,SGD,Singapore dollar,ARS,Argentine peso,2017-01-01T00:00:00Z
37,C:ARSUSD,Argentine peso - United States Dollar,fx,global,True,USD,United States Dollar,ARS,Argentine peso,2017-01-01T00:00:00Z
