,ticker,name,market,locale,active,source_feed
0,I:A1BSC,Dow Jones Americas Basic Materials Index,indices,us,True,CMEMarketDataPlatformDowJones
1,I:A1CYC,Dow Jones Americas Consumer Services Index,indices,us,True,CMEMarketDataPlatformDowJones
2,I:A1DOW,Dow Jones Americas Index,indices,us,True,CMEMarketDataPlatformDowJones
3,I:A1ENE,Dow Jones Americas Oil & Gas Index,indices,us,True,CMEMarketDataPlatformDowJones
4,I:A1FIN,Dow Jones Americas Financials Index,indices,us,True,CMEMarketDataPlatformDowJones
5,I:A1HCR,Dow Jones Americas Health Care Index,indices,us,True,CMEMarketDataPlatformDowJones
6,I:A1IDU,Dow Jones Americas Industrials Index,indices,us,True,CMEMarketDataPlatformDowJones
7,I:A1NCY,Dow Jones Americas Consumer Goods Index,indices,us,True,CMEMarketDataPlatformDowJones
8,I:A1SGI,Dow Jones Sustainability North America Composite Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
9,I:A1TEC,Dow Jones Americas Technology Index,indices,us,True,CMEMarketDataPlatformDowJones
10,I:A1TLS,Dow Jones Americas Telecommunications Index,indices,us,True,CMEMarketDataPlatformDowJones
11,I:A1UTI,Dow Jones Americas Utilities Index,indices,us,True,CMEMarketDataPlatformDowJones
12,I:AAVE100,Cboe 100 Aave / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
13,I:AAVE10RP,Cboe 10 Aave / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
14,I:AAVE25RP,Cboe 25 Aave / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
15,I:AAVE400,Cboe 400 Aave / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
16,I:AAVE50RP,Cboe 50 Aave / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
17,I:ABAQ,ABA NASDAQ Community Bank,indices,us,True,NasdaqGIDS
18,I:ABQI,NASDAQ OMX ABA Community Bank,indices,us,True,NasdaqGIDS
